author,title,like,Link,Sequence,Date,User,Comment
HWZ Forums,CECA Bui Chee retrenched wor...158th report so kelian. EDMWers got lobang for her ??,49,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,1,"17-08-2020, 02:06 PM",heughoghap,",Out of work, but she's keeping busy amid job hunt.,,When former business analyst Srividhya Ganapathy Sundaram, 29, was retrenched in May, she felt discouraged.,,But after taking a few weeks to settle her emotions, the,who moved to Singapore four years ago decided to take a positive approach to the situation and saw it as a chance to pick up new skills.,,In the past three months, in between sending out job applications and networking with contacts, she has started learning German and Sanskrit, and spent time painting.,,""I cannot sit idle at home, so I try to make sure I never have a dull day,"" said Ms Ganapathy Sundaram, who is on an Employment Pass. Her husband is working as a mechanical engineer on an S-pass. They do not have children.,,She had been working at a global software company for almost two years when the retrenchment notice hit like ""a bolt from the blue"", she said. ""I was completely shocked, because I didn't think I was doing badly at work... They simply said that my position was being made redundant,"" she said.,,After the retrenchment, one of the first things she did was to get in touch with various contacts she had made over the years to let them know about her job search.,,There has been at least one job offer which is in the works.,,But being a foreigner has also made the job search more difficult she said, as one of the first few questions potential employers ask is whether she is a Singaporean or a permanent resident. ""I do feel discouraged because although I am not a local, I have worked hard. It does feel like I had to start over again, and that I am back to square one in terms of my career,"" she said.,,During these trying times, when retrenchments are becoming more common, the reality is that,might find it harder to secure jobs, said Ms Ganapathy Sundaram, who,. Still, she acknowledges that it makes sense that any country will give priority to its locals in terms of jobs and policies."
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,2,"17-08-2020, 02:07 PM",xboxer,I care. I really do. Look in my eyes and you see how much I care.
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,3,"17-08-2020, 02:09 PM",thattragedy,Why learn German leh? Come SG must learn Mandarin and dialect
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,4,"17-08-2020, 02:09 PM",Redbull1628,local alrdy no jobs....do grab food......y shd we care for these shlt?
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,5,"17-08-2020, 02:09 PM",ramlee,her countrymen leeching here is looking for maids right?
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,6,"17-08-2020, 02:10 PM",sanzhu,Uptron gal look forward to hearing from nisha
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,7,"17-08-2020, 02:12 PM",Level42,Locals include PRs. This type called expat. Everything haywire.
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,8,"17-08-2020, 02:12 PM",Medicated Oil,"The 158 times is a joke.,There are so many jobless local sinkie and they have to write about a FS who ditched her homeland to come over.,She can still return to her country and find a job.,,Seriously, they have to write fairy tale about employers caring whether the applicant is sinkie or not.,Mai lai lah.,Stop treating sinkie like idiots and write this kind of fiction."
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,9,"17-08-2020, 02:12 PM",orpisia,"Yes f off with the entitled mindset that they have: ""hey, sinkies get this get that, how about foreigners like me?"""
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,10,"17-08-2020, 02:12 PM",ninefile,"no job still stay here for interview?,once their EP is canceled it will be back to social visit pass?"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,11,"17-08-2020, 02:12 PM",ping_ping_pong,I thought EP after retrench is gone? Then what pass is she holding now? Why still allowed to stay months without job? Like that is like PR already no?
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,12,"17-08-2020, 02:13 PM",Dracky,"If retrenched, how does a foreigner still can get a visa to stay in Singapore?"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,13,"17-08-2020, 02:14 PM",SnakeEater,"if it is sale role that deals with india customer still can understand must hire them but ....,,"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,14,"17-08-2020, 02:14 PM",LemonSalmon,Jin sad wor!!
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262.html,15,"17-08-2020, 02:14 PM",ramlee,her husband on EP earning more than $6k
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,16,"17-08-2020, 02:14 PM",WC32890,So that she will have an edge over locals when German companies in Singapore are hiring. Kumgomg sinkies don't want to improve themselves end up foodpanda and grab. Then ask why companies hire FT. Because of this lo.
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,17,"17-08-2020, 02:15 PM",reallyworry,she should go back to ceca
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,18,"17-08-2020, 02:17 PM",Level42,Her husband S-pass.
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,19,"17-08-2020, 02:19 PM",betking,sinki or ceca ask her go back la
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,20,"17-08-2020, 02:19 PM",fatboi666,"sowee, moi just ran out of fugs"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,21,"17-08-2020, 02:20 PM",eyz,"you imbecile Singaporeans, this is what you all should be doing after you get retrenched.,,not like you just lobo and enjoy your few months of retrenchment package and take your own sweet time to find a job.,,no wonder companies prefer employing foreigners."
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,22,"17-08-2020, 02:21 PM",muddywaters,"Then f back to India lah.,Still stay here for what ?"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,23,"17-08-2020, 02:21 PM",Semakdd,"This mainstream paper,Ppl already dulan with CECA and 10mil population perimeter,Still unaware that publish this kind of article would upset locals"
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,24,"17-08-2020, 02:23 PM",Lexmerc,"There you go. On EP earning $4k and that is with 4 years of local experience since she came at 25.,,So what was the value added stuff that this 24 year old brought to Singapore shores in 2015 that enabled her to earn more than $3.6k?,,Who is the contact that provided another job opportunity? Why isn't that opportunity given and made known to locals so that meritocracy can take on its natural process?,,Horrible."
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,25,"17-08-2020, 02:24 PM",mrclubbie,go back lor
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,26,"17-08-2020, 02:25 PM",whitecabbage,
,,,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/ceca-bui-chee-retrenched-wor-158th-report-so-kelian-edmwers-got-lobang-her-6358262-2.html,27,"17-08-2020, 02:25 PM",Taro Pie,"Deport immediately,,Posted from PCWX using æˆ�ä½•ä½“ç»Ÿ"
